No.;Designation;Quantity;Length - raw;Width - raw;Thickness - raw;Length;Width;Thickness;Area - final;Type;Material;Material description;URL of the material;Instance names;Description;URL;Badges;Edge Length 1;Edge Length 2;Edge Width 1;Edge Width 2;Frontside;Backside;Tags
A;letraoldal;2;2317 mm;204 mm;50 mm;2317 mm;204 mm;50 mm;"";Undefined;lucfenyo;"";"";"";"";"";borovi fenyo;"";"";"";"";"";"";Layer0
B;vizszentes keret;2;2190 mm;120 mm;50 mm;2190 mm;120 mm;50 mm;"";Undefined;lucfenyo;"";"";"";"";"";lucfenyo;"";"";"";"";"";"";Layer0
C;fuggolegeselem;5;1320 mm;120 mm;50 mm;1320 mm;120 mm;50 mm;"";Undefined;lucfenyo;"";"";"";"";"";lucfenyo;"";"";"";"";"";"";Layer0
D;polc;5;300 mm;120 mm;50 mm;300 mm;120 mm;50 mm;"";Undefined;lucfenyo;"";"";"";"";"";lucfenyo;"";"";"";"";"";"";Layer0
E;lepcsofok;7;590 mm;100 mm;30 mm;590 mm;100 mm;30 mm;"";Undefined;lucfenyo;"";"";"";"";"";bukk;"";"";"";"";"";"";Layer0
